Elapsed.time   CPU     Real.mem   Virtual.mem
    5740.496      142.900    11416.852    16571.051
    5741.497      136.900    11416.852    16571.051
    5742.498      137.900    11416.852    16571.051
    5743.499      136.900    11416.852    16571.051
    5744.500      139.800    11416.852    16571.051
    5745.501      140.900    11416.977    16571.051
    5746.502      137.800    11417.102    16571.051
    5747.503      138.900    11417.227    16571.051
    5748.504      136.900    11417.352    16571.051
    5749.505      140.800    11417.352    16571.051
    5750.506      141.900    11417.352    16571.051
    5751.507      136.900    11417.352    16571.051
    5752.508      137.900    11417.352    16571.051
    5753.509      137.900    11417.352    16571.051
    5754.510      140.900    11417.352    16571.051
    5755.511      138.900    11417.352    16571.051
    5756.512      138.800    11417.352    16571.051
    5757.513      137.900    11417.352    16571.051
    5758.514      138.900    11417.352    16571.051
    5759.516      140.800    11417.352    16571.051
    5760.516      139.900    11417.352    16571.051
    5761.518      137.900    11417.352    16571.051
    5762.518      136.900    11417.352    16571.051
    5763.519      137.900    11417.352    16571.051
    5764.521      142.800    11417.477    16571.051
    5765.521      139.900    11417.602    16571.051
    5766.522      137.900    11417.602    16571.051
    5767.523      137.900    11417.602    16571.051
    5768.524      138.900    11417.602    16571.051
    5769.525      140.800    11417.602    16571.051
    5770.526      140.900    11417.602    16571.051
    5771.527      136.800    11417.602    16571.051
    5772.528      137.900    11417.602    16571.051
    5773.530      137.800    11417.602    16571.051
    5774.530      143.900    11417.602    16571.051
    5775.531      137.900    11417.602    16571.051
    5776.532      137.900    11417.602    16571.051
    5777.533      137.800    11417.602    16571.051
    5778.535      141.800    11417.602    16571.051
    5779.535      138.900    11417.852    16571.051
    5780.537      137.800    11417.852    16571.051
    5781.538      138.900    11417.852    16571.051
    5782.538      137.900    11417.852    16571.051
    5783.540      141.800    11417.852    16571.051
    5784.540      138.900    11417.852    16571.051
    5785.541      137.900    11417.852    16571.051
    5786.543      136.900    11417.852    16571.051
    5787.544      138.900    11417.852    16571.051
    5788.545      141.900    11417.852    16571.051
    5789.546      137.900    11417.852    16571.051
    5790.547      138.900    11417.852    16571.051
    5791.548      137.900    11417.852    16571.051
    5792.549      137.900    11417.852    16571.051
    5793.551      142.800    11417.852    16571.051
    5794.551      138.900    11417.852    16571.051
    5795.552      137.900    11417.852    16571.051
    5796.553      137.900    11417.852    16571.051
    5797.554      138.900    11417.852    16571.051
    5798.555      142.800    11417.852    16571.051
    5799.557      138.800    11417.852    16571.051
    5800.557      136.900    11417.852    16571.051
    5801.558      137.900    11417.852    16571.051
    5802.559      138.800    11417.852    16571.051
    5803.560      142.900    11417.852    16571.051
    5804.562      138.800    11417.852    16571.051
    5805.563      136.900    11417.852    16571.051
    5806.563      137.900    11417.852    16571.051
    5807.565      138.800    11417.852    16571.051
    5808.565      141.900    11417.852    16571.051
    5809.566      137.900    11417.852    16571.051
    5810.567      137.900    11417.852    16571.051
    5811.568      137.900    11417.852    16571.051
    5812.569      139.800    11417.852    16571.051
    5813.570      139.900    11417.852    16571.051
    5814.571      138.900    11417.852    16571.051
    5815.572      137.900    11417.852    16571.051
    5816.574      137.800    11417.852    16571.051
    5817.575      141.800    11417.852    16571.051
    5818.576      138.900    11417.852    16571.051
    5819.577      137.900    11417.852    16571.051
    5820.578      137.800    11417.852    16571.051
    5821.580      138.800    11417.852    16571.051
    5822.580      142.900    11417.852    16571.051
    5823.581      137.900    11417.852    16571.051
    5824.582      137.800    11417.852    16571.051
    5825.583      137.900    11417.852    16571.051
    5826.584      139.800    11417.852    16571.051
    5827.585      141.900    11417.852    16571.051
    5828.586      136.900    11417.852    16571.051
    5829.587      138.800    11417.852    16571.051
    5830.588      137.900    11417.852    16571.051
    5831.589      140.800    11417.852    16571.051
    5832.590      140.900    11417.852    16571.051
    5833.591      136.800    11417.852    16571.051
    5834.592      138.800    11417.852    16571.051
    5835.593      137.900    11417.852    16571.051
    5836.594      141.800    11417.852    16571.051
    5837.595      138.900    11417.852    16571.051
    5838.596      137.900    11417.852    16571.051
    5839.597      137.800    11417.852    16571.051
    5840.598      138.800    11417.852    16571.051
    5841.599      141.900    11417.852    16571.051
    5842.600      137.800    11417.852    16571.051
    5843.601      137.900    11417.852    16571.051
    5844.602      137.900    11417.852    16571.051
    5845.603      140.900    11417.852    16571.051
    5846.605      139.900    11417.852    16571.051
    5847.606      136.900    11417.852    16571.051
    5848.607      137.800    11417.852    16571.051
    5849.608      137.900    11418.102    16571.051
    5850.609      142.800    11418.102    16571.051
    5851.610      137.900    11418.102    16571.051
    5852.611      136.900    11418.102    16571.051
    5853.612      137.900    11418.102    16571.051
    5854.613      139.800    11418.102    16571.051
    5855.614      141.900    11418.102    16571.051
    5856.615      137.800    11418.102    16571.051
    5857.616      137.900    11418.102    16571.051
    5858.617      137.800    11418.102    16571.051
    5859.618      140.800    11418.102    16571.051
    5860.619      140.900    11418.102    16571.051
    5861.620      137.900    11418.102    16571.051
    5862.621      137.900    11418.102    16571.051
    5863.622      137.800    11418.102    16571.051
    5864.623      141.800    11418.102    16571.051
    5865.624      138.900    11418.102    16571.051
    5866.625      138.900    11418.102    16571.051
    5867.626      137.900    11418.102    16571.051
    5868.627      138.900    11418.102    16571.051
    5869.628      139.800    11418.102    16571.051
    5870.629      139.800    11418.102    16571.051
    5871.630      138.900    11418.102    16571.051
    5872.631      137.800    11418.102    16571.051
    5873.632      137.900    11418.102    16571.051
    5874.633      141.900    11418.102    16571.051
    5875.634      138.900    11418.102    16571.051
    5876.636      138.800    11418.102    16571.051
    5877.637      136.900    11418.102    16571.051
    5878.638      137.900    11418.102    16571.051
    5879.639      142.800    11418.102    16571.051
    5880.640      138.900    11418.102    16571.051
    5881.641      137.800    11418.102    16571.051
    5882.642      138.900    11418.102    16571.051
    5883.643      137.800    11418.102    16571.051
    5884.644      143.900    11418.102    16571.051
    5885.645      137.900    11418.102    16571.051
    5886.646      137.900    11418.102    16571.051
    5887.647      138.900    11418.102    16571.051
    5888.648      138.800    11418.102    16571.051
    5889.649      140.900    11418.102    16571.051
    5890.650      136.900    11418.102    16571.051
    5891.651      138.900    11418.102    16571.051
    5892.652      137.800    11418.102    16571.051
    5893.653      141.900    11418.102    16571.051
    5894.654      138.900    11418.102    16571.051
    5895.655      138.900    11418.102    16571.051
    5896.656      138.900    11418.102    16571.051
    5897.657      139.800    11418.102    16571.051
    5898.658      140.900    11418.102    16571.051
    5899.659      137.900    11418.102    16571.051
    5900.660      137.800    11418.102    16571.051
    5901.661      138.800    11418.102    16571.051
    5902.662      141.900    11418.102    16571.051
    5903.663      138.900    11418.102    16571.051
    5904.664      136.900    11418.102    16571.051
    5905.665      138.800    11418.102    16571.051
    5906.667      140.900    11418.102    16571.051
    5907.668      138.900    11418.102    16571.051
    5908.669      138.900    11418.102    16571.051
    5909.670      137.800    11418.102    16571.051
    5910.671      136.900    11418.102    16571.051
    5911.672      142.900    11418.102    16571.051
    5912.673      137.800    11418.102    16571.051
    5913.674      137.900    11418.102    16571.051
    5914.675      138.900    11418.102    16571.051
    5915.676      137.900    11418.102    16571.051
    5916.677      141.800    11418.102    16571.051
    5917.678      137.800    11418.102    16571.051
    5918.679      137.900    11418.102    16571.051
    5919.680      138.800    11418.102    16571.051
    5920.681      139.900    11418.102    16571.051
    5921.682      141.800    11418.102    16571.051
    5922.683      136.900    11418.102    16571.051
    5923.684      137.800    11418.102    16571.051
    5924.685      137.900    11418.102    16571.051
    5925.686      140.800    11418.102    16571.051
    5926.687      138.900    11418.102    16571.051
    5927.688      137.900    11418.102    16571.051
    5928.689      137.800    11418.102    16571.051
    5929.690      138.900    11418.102    16571.051
    5930.691      141.800    11418.102    16571.051
    5931.692      138.900    11418.102    16571.051
    5932.693      136.900    11418.102    16571.051
    5933.694      138.900    11418.102    16571.051
    5934.695      137.800    11418.102    16571.051
    5935.696      140.900    11418.102    16571.051
    5936.697      138.900    11418.102    16571.051
    5937.698      137.900    11418.102    16571.051
    5938.700      137.800    11418.102    16571.051
    5939.700      138.900    11418.102    16571.051
    5940.701      141.900    11418.102    16571.051
    5941.702      138.900    11418.102    16571.051
    5942.704      136.900    11418.102    16571.051
    5943.704      137.900    11418.102    16571.051
    5944.705      140.800    11418.102    16571.051
    5945.707      140.800    11418.102    16571.051
    5946.708      136.900    11418.102    16571.051
    5947.709      137.900    11418.102    16571.051
    5948.710      138.800    11418.102    16571.051
    5949.711      139.800    11418.102    16571.051
    5950.711      140.900    11418.102    16571.051
    5951.713      137.800    11418.102    16571.051
    5952.713      137.900    11418.102    16571.051
    5953.715      137.900    11418.102    16571.051
    5954.715      139.900    11418.102    16571.051
    5955.716      139.900    11418.102    16571.051
    5956.718      137.800    11418.102    16571.051
    5957.718      136.900    11418.102    16571.051
    5958.720      137.800    11418.102    16571.051
    5959.720      142.900    11418.102    16571.051
    5960.722      138.800    11418.102    16571.051
    5961.722      136.900    11418.102    16571.051
    5962.724      138.800    11418.102    16571.051
    5963.725      137.900    11418.102    16571.051
    5964.725      142.900    11418.102    16571.051
    5965.727      136.800    11418.102    16571.051
    5966.729      137.900    11418.102    16571.051
    5967.730      137.900    11418.102    16571.051
    5968.731      138.800    11418.102    16571.051
    5969.731      141.900    11418.102    16571.051
    5970.732      139.800    11418.102    16571.051
    5971.733      136.900    11418.102    16571.051
    5972.735      138.800    11418.102    16571.051
    5973.736      137.900    11418.102    16571.051
    5974.737      142.800    11418.102    16571.051
    5975.737      138.900    11418.102    16571.051
    5976.738      137.900    11418.102    16571.051
    5977.739      137.900    11418.102    16571.051
    5978.740      137.900    11418.102    16571.051
    5979.742      141.800    11418.102    16571.051
    5980.742      139.900    11418.102    16571.051
    5981.744      137.900    11418.102    16571.051
    5982.744      137.900    11418.102    16571.051
    5983.746      136.800    11418.102    16571.051
    5984.746      142.900    11418.102    16571.051
    5985.747      137.900    11418.102    16571.051
    5986.748      137.900    11418.102    16571.051
    5987.750      138.800    11418.102    16571.051
    5988.751      138.800    11418.102    16571.051
    5989.751      141.900    11418.102    16571.051
    5990.752      136.900    11418.102    16571.051
    5991.753      137.900    11418.102    16571.051
    5992.754      137.900    11418.102    16571.051
    5993.756      139.800    11418.102    16571.051
    5994.756      140.900    11418.102    16571.051
    5995.758      138.800    11418.102    16571.051
    5996.759      136.900    11418.102    16571.051
    5997.760      137.900    11418.102    16571.051
    5998.761      140.800    11418.102    16571.051
    5999.762      138.900    11418.102    16571.051
    6000.763      138.900    11418.102    16571.051
    6001.764      137.900    11418.102    16571.051
    6002.765      136.800    11418.102    16571.051
    6003.766      142.900    11418.102    16571.051
    6004.767      138.900    11418.102    16571.051
    6005.768      137.900    11418.102    16571.051
    6006.769      137.900    11418.102    16571.051
    6007.770      139.800    11418.102    16571.051
    6008.771      139.900    11418.102    16571.051
    6009.772      138.900    11418.102    16571.051
    6010.773      136.900    11418.102    16571.051
    6011.775      177.500    11419.102    16571.051
    6012.777      151.800    11419.102    16571.051
    6013.778       99.900    11419.102    16571.051
    6014.779       99.900    11419.102    16571.051
    6015.780       99.900    11419.102    16571.051
    6016.781      100.900    11419.102    16571.051
    6017.782       99.900    11419.102    16571.051
    6018.783       99.900    11419.102    16571.051
    6019.784       99.900    11419.102    16571.051
    6020.785       99.900    11419.102    16571.051
    6021.786       99.900    11419.102    16571.051
    6022.787       99.900    11419.102    16571.051
    6023.788      103.900    11419.102    16571.051
    6024.789      120.900    11419.477    16571.051
    6025.790       99.900    11419.477    16571.051
    6026.792       99.900    11419.477    16571.051
    6027.793       99.900    11419.477    16571.051
    6028.794       99.900    11419.477    16571.051
    6029.795       99.900    11419.477    16571.051
    6030.796       99.900    11419.477    16571.051
    6031.797       99.900    11419.477    16571.051
    6032.799      100.800    11419.477    16571.051
    6033.801       99.800    11419.477    16571.051
    6034.801       99.900    11419.477    16571.051
    6035.802      120.900    11419.477    16571.051
    6036.803      107.900    11419.852    16571.051
    6037.804       99.900    11419.852    16571.051
    6038.805       99.900    11419.852    16571.051
    6039.806       99.900    11419.852    16571.051
    6040.807       99.900    11419.852    16571.051
    6041.808      100.900    11419.852    16571.051
    6042.809       99.900    11419.852    16571.051
    6043.810       99.900    11419.852    16571.051
    6044.811       99.900    11419.852    16571.051
    6045.812       99.900    11419.852    16571.051
    6046.813       99.900    11419.852    16571.051
    6047.815      116.900    11419.852    16571.051
    6048.816      111.900    11421.102    16571.051
    6049.816       99.900    11421.102    16571.051
    6050.817       99.900    11421.102    16571.051
    6051.818       99.900    11421.102    16571.051
    6052.819       99.900    11421.102    16571.051
    6053.820       99.900    11421.102    16571.051
    6054.821       99.900    11421.102    16571.051
    6055.823       99.900    11421.102    16571.051
    6056.824       99.900    11421.102    16571.051
    6057.825       99.900    11421.102    16571.051
    6058.826       99.900    11421.102    16571.051
    6059.827      121.900    11421.102    16571.051
    6060.828      101.900    11421.102    16571.051
    6061.829       99.900    11421.102    16571.051
    6062.830      100.900    11421.102    16571.051
    6063.831       99.900    11421.102    16571.051
    6064.832       99.900    11421.102    16571.051
    6065.833       99.900    11421.102    16571.051
    6066.834       99.900    11421.102    16571.051
    6067.835       99.900    11421.102    16571.051
    6068.836       99.900    11421.102    16571.051
    6069.837       99.900    11421.102    16571.051
    6070.838       99.900    11421.102    16571.051
    6071.839      126.900    11421.102    16571.051
